
****************************************************************

Beginning calculation

Speed       = 10
Timesteps   = 200
Iterations  = 1000000
Tolerance   = 1e-06
Convergence = 1e-06

Boundary polynomial (normalised): 0.00111x^2 + 0.000625y^2 - 0.000556x - 0.000313y - 0.00998 = 0

Timestep     Number of nodes      Mean crossing time     Crossed probability    Internal probability       Total probability     Clock time per step      Elapsed clock time
       1                   4      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000014         00:00:00.000493
       2                   9      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000012         00:00:00.000520
       3                  15      0.0430906617338249      0.0156250000000000      0.9843750000000000      1.0000000000000000         00:00:00.000026         00:00:00.000560
       4                  20      0.1563192122911895      0.0468750000000000      0.9531250000000000      1.0000000000000000         00:00:00.000042         00:00:00.000617
       5                  18      0.5578728773444163      0.1337890625000000      0.8662109375000000      1.0000000000000000         00:00:00.000096         00:00:00.000728
       6                  20      0.8109000092088781      0.1796875000000000      0.8203125000000000      1.0000000000000000         00:00:00.000067         00:00:00.000810
       7                  18      1.4274851634748262      0.2728881835937500      0.7271118164062500      1.0000000000000000         00:00:00.000092         00:00:00.000918
       8                  20      1.7627948816645993      0.3177185058593750      0.6822814941406250      1.0000000000000000         00:00:00.000067         00:00:00.001002
       9                  18      2.4759578146530408      0.4004936218261719      0.5995063781738281      1.0000000000000000         00:00:00.000092         00:00:00.001108
      10                  20      2.8468016093696034      0.4396772384643555      0.5603227615356445      1.0000000000000000         00:00:00.000068         00:00:00.001190
      11                  18      3.5855744126203852      0.5092649459838867      0.4907350540161133      1.0000000000000000         00:00:00.000092         00:00:00.001297
      12                  20      3.9624795877327124      0.5421650409698486      0.4578349590301514      1.0000000000000000         00:00:00.000067         00:00:00.001379
      13                  18      4.6864474095894773      0.5995444953441620      0.4004555046558380      1.0000000000000000         00:00:00.000093         00:00:00.001488
      14                  20      5.0519329300414970      0.6267155073583126      0.3732844926416874      1.0000000000000000         00:00:00.000069         00:00:00.001572
      15                  18      5.7383752712081755      0.6736747752875090      0.3263252247124910      1.0000000000000000         00:00:00.000091         00:00:00.001678
      16                  20      6.0824716222426050      0.6959486335981637      0.3040513664018363      1.0000000000000000         00:00:00.000067         00:00:00.001761
      17                  18      6.7191527310472239      0.7342606548918411      0.2657393451081589      1.0000000000000000         00:00:00.000090         00:00:00.001867
      18                  20      7.0365939948118905      0.7524556074349675      0.2475443925650325      1.0000000000000000         00:00:00.000066         00:00:00.001948
      19                  18      7.6177677564852511      0.7836701502383221      0.2163298497616779      1.0000000000000000         00:00:00.000090         00:00:00.002053
      20                  20      7.9062772782624107      0.7985069408096024      0.2014930591903976      1.0000000000000000         00:00:00.000065         00:00:00.002135
      21                  18      8.4303298103924273      0.8239229739258462      0.1760770260741538      1.0000000000000000         00:00:00.000090         00:00:00.002240
      22                  20      8.6895413347442680      0.8360103389792357      0.1639896610207643      1.0000000000000000         00:00:00.000066         00:00:00.002323
      23                  18      9.1574996117561920      0.8566988829760618      0.1433011170239382      1.0000000000000000         00:00:00.000091         00:00:00.002430
      24                  20      9.3882537167475917      0.8665415059414876      0.1334584940585124      1.0000000000000000         00:00:00.000065         00:00:00.002512
      25                  18      9.8027936945623981      0.8833794644488204      0.1166205355511796      1.0000000000000000         00:00:00.000090         00:00:00.002617
