****************************************************************
*       Calculation started on: Fri May 31 10:31:43 2024       *
****************************************************************
Timestep     Number of nodes      Mean crossing time     Crossed probability
       1                   4      0.0000000000000000      0.0000000000000000
       2                   9      0.0000000000000000      0.0000000000000000
       3                  15      0.0430906617338249      0.0156250000000000
       4                  20      0.1563192122911895      0.0468750000000000
       5                  18      0.5578728773444163      0.1337890625000000
       6                  20      0.8109000092088781      0.1796875000000000
       7                  18      1.4274851634748262      0.2728881835937500
       8                  20      1.7627948816645993      0.3177185058593750
       9                  18      2.4759578146530408      0.4004936218261719
      10                  20      2.8468016093696034      0.4396772384643555
      11                  18      3.5855744126203852      0.5092649459838867
      12                  20      3.9624795877327124      0.5421650409698486
      13                  18      4.6864474095894773      0.5995444953441620
      14                  20      5.0519329300414970      0.6267155073583126
      15                  18      5.7383752712081755      0.6736747752875090
      16                  20      6.0824716222426050      0.6959486335981637
      17                  18      6.7191527310472239      0.7342606548918411
      18                  20      7.0365939948118905      0.7524556074349675
      19                  18      7.6177677564852511      0.7836701502383221
      20                  20      7.9062772782624107      0.7985069408096024
      21                  18      8.4303298103924273      0.8239229739258462
      22                  20      8.6895413347442680      0.8360103389792357
      23                  18      9.1574996117561920      0.8566988829760618
      24                  20      9.3882537167475917      0.8665415059414876
      25                  18      9.8027936945623981      0.8833794644488204
      26                  20     10.0066667747213209      0.8913920614300264
      27                  18     10.3714357273819875      0.9050951296964429
      28                  20     10.5504201646998457      0.9116169656410797
      29                  18     10.8695697658049735      0.9227683941467046
      30                  20     11.0258562030704468      0.9280763618554009
      31                  18     11.3037226244809244      0.9371511218250926
      32                  20     11.4395530312041203      0.9414709249081871
      33                  18     11.6804417268626182      0.9488556715737884
      34                  20     11.7980123280229012      0.9523711603718825
      35                  18     12.0060579433723902      0.9583805979104805
      36                  20     12.1074575092542691      0.9612414719337180
      37                  18     12.2865376531960475      0.9661317192491408
      38                  20     12.3737108469883132      0.9684598431786539
      39                  18     12.5273981859764785      0.9724393304288026
      40                  20     12.6021265323740383      0.9743338962995407
      41                  18     12.7336677706226862      0.9775722403412535
      42                  20     12.7975628335860101      0.9791139790919975
      43                  18     12.9098761573300429      0.9817492094324866
      44                  20     12.9643809801485670      0.9830038233957382
      45                  18     13.0600657862726592      0.9851482638546557
      46                  20     13.1064617232595850      0.9861692226557318
      47                  18     13.1878161311308943      0.9879142782628437
      48                  20     13.2272329975307521      0.9887450953974417
      49                  18     13.2962759011088600      0.9901651480610458
      50                  20     13.3297039603676328      0.9908412342191004
      51                  18     13.3881993191032116      0.9919968129950359
      52                  20     13.4165020668356423      0.9925469846208010
      53                  18     13.4659838352090784      0.9934873456126512
      54                  20     13.4899108650075910      0.9939350527311519
      55                  18     13.5317074796342283      0.9947002785406532
      56                  20     13.5519069555143368      0.9950646040374701
      57                  18     13.5871646795929539      0.9956873122289838
      58                  20     13.6041951145880624      0.9959837850943719
      59                  18     13.6338998157864069      0.9964905184829623
      60                  20     13.6482409820829798      0.9967317756375241
      61                  18     13.6732381175590199      0.9971441336537522
      62                  20     13.6853010028447049      0.9973404585387394
      63                  18     13.7063137237712080      0.9976760178898303
      64                  20     13.7164495104776396      0.9978357787636153
      65                  18     13.7340948932872582      0.9981088426312325
      66                  20     13.7426029792393223      0.9982388492449982
      67                  18     13.7574064533583318      0.9984610569523110
      68                  20     13.7645415593751022      0.9985668508027246
      69                  18     13.7769496402107379      0.9987476739366452
      70                  20     13.7829280665110527      0.9988337644642280
      71                  18     13.7933195245059679      0.9989809105992647
      72                  20     13.7983246264165196      0.9990509673984339
      73                  18     13.8070202330453569      0.9991707086304004
      74                  20     13.8112071897830884      0.9992277178629354
      75                  18     13.8184781831414973      0.9993251581559499
      76                  20     13.8219781330482938      0.9993715498342850
      77                  18     13.8280535419116504      0.9994508425765267
      78                  20     13.8309771547110643      0.9994885941418776
      79                  18     13.8360501126240010      0.9995531191832829
      80                  20     13.8384906649611494      0.9995838397933567
      81                  18     13.8427238365105314      0.9996363475114011
      82                  20     13.8447598518840636      0.9996613466302902
      83                  18     13.8482900828405828      0.9997040751646104
      84                  20     13.8499875915035471      0.9997244183784092
      85                  18     13.8529298837113970      0.9997591890313547
      86                  20     13.8543443525264731      0.9997757434685831
      87                  18     13.8567952537657941      0.9998040383381223
      88                  20     13.8579732305637791      0.9998175096309588
      89                  18     13.8600137194252948      0.9998405347850290
      90                  20     13.8609942312701691      0.9998514971468030
      91                  18     13.8626921675605583      0.9998702340319010
      92                  20     13.8635079075503231      0.9998791547328840
      93                  18     13.8649201099958432      0.9998944020081829
      94                  20     13.8655984428655685      0.9999016612929487
      95                  18     13.8667724479442551      0.9999140688731142
      96                  20     13.8673362607990196      0.9999199761684379
      97                  18     13.8683118094084090      0.9999300729262173
      98                  20     13.8687802303921828      0.9999348800303766
      99                  18     13.8695905227223637      0.9999430963397828
     100                  20     13.8699795273059419      0.9999470081554453
     101                  18     13.8706522806909369      0.9999536942364347
     102                  20     13.8709752025111488      0.9999568775046264
     103                  18     13.8715335421194066      0.9999623183512129
     104                  20     13.8718015028929109      0.9999649087586472
     105                  18     13.8722647108288353      0.9999693362867641
     106                  20     13.8724869817649150      0.9999714442494828
     107                  18     13.8728711264264852      0.9999750471823928
     108                  20     13.8730554317422694      0.9999767625522468
     109                  18     13.8733738960539856      0.9999796944648647
     110                  20     13.8735266676220537      0.9999810903594452
     111                  18     13.8737905919805709      0.9999834762244653
     112                  20     13.8739171827835506      0.9999846121437391
     113                  18     13.8741358361617948      0.9999865536585911
