
****************************************************************

Beginning calculation

Speed       = 1
Timesteps   = 1000
Iterations  = 1000000
Tolerance   = 1e-06
Convergence = 1e-06

Boundary polynomial (normalised): xy - 10 = 0

Timestep     Number of nodes      Mean crossing time     Crossed probability    Internal probability       Total probability     Clock time per step      Elapsed clock time
       1                   4      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000013         00:00:00.000465
       2                   9      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000012         00:00:00.000492
       3                  16      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000019         00:00:00.000527
       4                  25      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000025         00:00:00.000568
       5                  36      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000033         00:00:00.000615
       6                  49      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000045         00:00:00.000675
       7                  56      0.0906168619791667      0.0136718750000000      0.9863281250000000      1.0000000000000000         00:00:00.000070         00:00:00.000759
       8                  71      0.0938924153645834      0.0140991210937500      0.9859008789062500      1.0000000000000000         00:00:00.000072         00:00:00.000845
       9                  80      0.2897811163039435      0.0367584228515625      0.9632415771484375      1.0000000000000000         00:00:00.000086         00:00:00.000947
      10                  97      0.3002394267490932      0.0378417968750000      0.9621582031250000      1.0000000000000000         00:00:00.000095         00:00:00.001057
      11                 104      0.5890225380186050      0.0649423599243164      0.9350576400756836      1.0000000000000000         00:00:00.000126         00:00:00.001198
      12                 123      0.6092612536094574      0.0666811466217041      0.9333188533782959      1.0000000000000000         00:00:00.000125         00:00:00.001337
      13                 132      0.9734878351678063      0.0954430699348450      0.9045569300651550      1.0000000000000000         00:00:00.000187         00:00:00.001543
      14                 153      1.0047674350306526      0.0977385193109512      0.9022614806890488      1.0000000000000000         00:00:00.000171         00:00:00.001739
      15                 164      1.4285414731616903      0.1266279555857182      0.8733720444142818      1.0000000000000000         00:00:00.000191         00:00:00.001947
      16                 187      1.4711864888606812      0.1293588541448116      0.8706411458551884      1.0000000000000000         00:00:00.000205         00:00:00.002169
      17                 200      1.9415521417985335      0.1575705285649747      0.8424294714350253      1.0000000000000000         00:00:00.000233         00:00:00.002418
      18                 225      1.9953199384197724      0.1606243831920438      0.8393756168079562      1.0000000000000000         00:00:00.000243         00:00:00.002678
      19                 240      2.5020943967718274      0.1877598813152872      0.8122401186847128      1.0000000000000000         00:00:00.000276         00:00:00.002970
      20                 267      2.5664322622499576      0.1910425862079137      0.8089574137920863      1.0000000000000000         00:00:00.000284         00:00:00.003270
