****************************************************************
*       Calculation started on: Fri May 31 10:40:21 2024       *
****************************************************************
Timestep     Number of nodes      Mean crossing time     Crossed probability
       1                   4      0.0000000000000000      0.0000000000000000
       2                   9      0.0000000000000000      0.0000000000000000
       3                  16      0.0000000000000000      0.0000000000000000
       4                  25      0.0000000000000000      0.0000000000000000
       5                  36      0.0000000000000000      0.0000000000000000
       6                  49      0.0000000000000000      0.0000000000000000
       7                  56      0.0906168619791667      0.0136718750000000
       8                  71      0.0938924153645834      0.0140991210937500
       9                  80      0.2897811163039435      0.0367584228515625
      10                  97      0.3002394267490932      0.0378417968750000
      11                 104      0.5890225380186050      0.0649423599243164
      12                 123      0.6092612536094574      0.0666811466217041
      13                 132      0.9734878351678063      0.0954430699348450
      14                 153      1.0047674350306526      0.0977385193109512
      15                 164      1.4285414731616903      0.1266279555857182
      16                 187      1.4711864888606812      0.1293588541448116
      17                 200      1.9415521417985335      0.1575705285649747
      18                 225      1.9953199384197724      0.1606243831920438
      19                 240      2.5020943967718274      0.1877598813152872
      20                 267      2.5664322622499576      0.1910425862079137
      21                 284      3.1016770766043091      0.2169272821947743
      22                 313      3.1758833340669312      0.2203638600253726
      23                 332      3.7333780115411397      0.2449448082041954
      24                 363      3.8166967815073392      0.2484770003322296
      25                 384      4.3915090939734158      0.2717661418548580
      26                 417      4.4831831274353577      0.2753492805616382
      27                 440      5.0713438783090306      0.2973918452925732
      28                 475      5.1706422429040027      0.3009919340576491
      29                 500      5.7689073496806289      0.3218488931302764
      30                 537      5.8751386100575091      0.3254401749813974
      31                 564      6.4808175386400046      0.3451785662642913
      32                 603      6.5933348655569981      0.3487416017337529
      33                 632      7.2041672297853312      0.3674292830049953
      34                 673      7.3223691986220709      0.3709494695727825
      35                 704      7.9364355082339886      0.3886523649995862
      36                 747      8.0597647223262765      0.3921188102968233
      37                 780      8.6754210729589456      0.4088995575760598
      38                 825      8.8033617900035690      0.4123042253763373
      39                 860      9.4191912899033508      0.4282216035773166
      40                 907      9.5512666803333683      0.4315586660954521
      41                 944     10.1660426145466882      0.4466674515680070
      42                 993     10.3018119729873572      0.4499327964147614
      43                1032     10.9144692674290038      0.4642838462110906
      44                1083     11.0535253302517074      0.4674746990046387
      45                1124     11.6631379591928148      0.4811151481887846
      46                1177     11.8051043921586736      0.4842297818051672
      47                1220     12.4108671114008100      0.4972032908563156
      48                1275     12.5553961861465861      0.5002407998662459
      49                1320     13.1566094752665048      0.5125878169782236
      50                1377     13.3033799318022243      0.5155479414295021
      51                1424     13.8994373677967271      0.5273059608918809
      52                1483     14.0481524509937383      0.5301889477138042
      53                1532     14.6385299650247571      0.5413927548964756
      54                1593     14.7889156201009140      0.5441992482092957
      55                1644     15.3731622448062506      0.5548811469364723
      56                1707     15.5249654567646811      0.5576121007441430
      57                1760     16.1026952780447559      0.5678021217553790
      58                1825     16.2556825411868076      0.5704587301066542
      59                1880     16.8265676417744672      0.5801848208592841
      60                1947     16.9805235469454416      0.5827684617441244
      61                2004     17.5442877802631543      0.5920566585934171
      62                2073     17.6990137090159934      0.5945688487161864
      63                2132     18.2554271780429573      0.6034434328538301
      64                2203     18.4107400942672754      0.6058857910766253
      65                2264     18.9596142361853381      0.6143694297105640
      66                2337     19.1153455669092764      0.6167436474495984
      67                2400     19.6565287633692591      0.6248575216819932
      68                2475     19.8125233614057166      0.6271653389106411
      69                2540     20.3458970085036199      0.6349292596805305
      70                2617     20.5020121904136161      0.6371724454755969
      71                2684     21.0274871733243387      0.6446049588152944
      72                2763     21.1835918268353325      0.6467852956008486
      73                2832     21.7011053524984092      0.6539037783304296
      74                2913     21.8570791080753608      0.6560230491423855
      75                2984     22.3665918560277177      0.6628437960052955
      76                3067     22.5223243177719255      0.6649037742319446
      77                3140     23.0238178746349362      0.6714420773620327
      78                3225     23.1792079060989167      0.6734445185195668
      79                3300     23.6726824536716336      0.6797147400278227
      80                3387     23.8276375145402639      0.6816613752122453
      81                3464     24.3131097451553373      0.6876770135905068
      82                3553     24.4675452750661222      0.6895695443129353
      83                3632     24.9450465109905863      0.6953432952715238
      84                3723     25.0988853570557140      0.6971833894365894
      85                3804     25.5684598533851002      0.7027272017222578
      86                3897     25.7216317382394166      0.7045164905517564
      87                3980     26.1833351510286647      0.7098416172304959
      88                4075     26.3357761784678601      0.7115816929688802
      89                4160     26.7896741818333410      0.7166987386040747
      90                4257     26.9413263773261562      0.7183911528704624
      91                4344     27.3874934149885902      0.7233101169795234
      92                4443     27.5383042985480060      0.7249563796537978
      93                4532     27.9768224568125490      0.7296866967849541
