
****************************************************************

Beginning calculation

Speed       = 10
Timesteps   = 100
Iterations  = 1000000
Tolerance   = 1e-06
Convergence = 1e-06

Boundary polynomial (normalised): x^2y^2 - 4x^2 - 4y^2 + 16 = 0

Timestep     Number of nodes      Mean crossing time     Crossed probability    Internal probability       Total probability     Clock time per step      Elapsed clock time
       1                   4      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000011         00:00:00.000367
       2                   5      0.5000000000000000      0.2500000000000000      0.7500000000000000      1.0000000000000000         00:00:00.000012         00:00:00.000391
       3                   4      1.2500000000000000      0.5000000000000000      0.5000000000000000      1.0000000000000000         00:00:00.000013         00:00:00.000415
       4                   5      1.7500000000000000      0.6250000000000000      0.3750000000000000      1.0000000000000000         00:00:00.000009         00:00:00.000436
       5                   4      2.3750000000000000      0.7500000000000000      0.2500000000000000      1.0000000000000000         00:00:00.000012         00:00:00.000460
       6                   5      2.7500000000000000      0.8125000000000000      0.1875000000000000      1.0000000000000000         00:00:00.000010         00:00:00.000480
       7                   4      3.1875000000000000      0.8750000000000000      0.1250000000000000      1.0000000000000000         00:00:00.000012         00:00:00.000502
       8                   5      3.4375000000000000      0.9062500000000000      0.0937500000000000      1.0000000000000000         00:00:00.000010         00:00:00.000522
       9                   4      3.7187500000000000      0.9375000000000000      0.0625000000000000      1.0000000000000000         00:00:00.000012         00:00:00.000545
      10                   5      3.8750000000000000      0.9531250000000000      0.0468750000000000      1.0000000000000000         00:00:00.000010         00:00:00.000565
      11                   4      4.0468750000000000      0.9687500000000000      0.0312500000000000      1.0000000000000000         00:00:00.000011         00:00:00.000587
      12                   5      4.1406250000000000      0.9765625000000000      0.0234375000000000      1.0000000000000000         00:00:00.000009         00:00:00.000608
      13                   4      4.2421875000000000      0.9843750000000000      0.0156250000000000      1.0000000000000000         00:00:00.000011         00:00:00.000630
      14                   5      4.2968750000000000      0.9882812500000000      0.0117187500000000      1.0000000000000000         00:00:00.000009         00:00:00.000651
      15                   4      4.3554687500000000      0.9921875000000000      0.0078125000000000      1.0000000000000000         00:00:00.000010         00:00:00.000673
      16                   5      4.3867187500000000      0.9941406250000000      0.0058593750000000      1.0000000000000000         00:00:00.000010         00:00:00.000692
      17                   4      4.4199218750000000      0.9960937500000000      0.0039062500000000      1.0000000000000000         00:00:00.000011         00:00:00.000714
      18                   5      4.4375000000000000      0.9970703125000000      0.0029296875000000      1.0000000000000000         00:00:00.000010         00:00:00.000734
      19                   4      4.4560546875000000      0.9980468750000000      0.0019531250000000      1.0000000000000000         00:00:00.000010         00:00:00.000756
      20                   5      4.4658203125000000      0.9985351562500000      0.0014648437500000      1.0000000000000000         00:00:00.000008         00:00:00.000776
      21                   4      4.4760742187500000      0.9990234375000000      0.0009765625000000      1.0000000000000000         00:00:00.000011         00:00:00.000798
      22                   5      4.4814453125000000      0.9992675781250000      0.0007324218750000      1.0000000000000000         00:00:00.000010         00:00:00.000818
      23                   4      4.4870605468750000      0.9995117187500000      0.0004882812500000      1.0000000000000000         00:00:00.000011         00:00:00.000840
      24                   5      4.4899902343750000      0.9996337890625000      0.0003662109375000      1.0000000000000000         00:00:00.000009         00:00:00.000859
      25                   4      4.4930419921875000      0.9997558593750000      0.0002441406250000      1.0000000000000000         00:00:00.000012         00:00:00.000882
      26                   5      4.4946289062500000      0.9998168945312500      0.0001831054687500      1.0000000000000000         00:00:00.000009         00:00:00.000903
      27                   4      4.4962768554687500      0.9998779296875000      0.0001220703125000      1.0000000000000000         00:00:00.000010         00:00:00.000926
      28                   5      4.4971313476562500      0.9999084472656250      0.0000915527343750      1.0000000000000000         00:00:00.000010         00:00:00.000946
      29                   4      4.4980163574218750      0.9999389648437500      0.0000610351562500      1.0000000000000000         00:00:00.000012         00:00:00.000968
      30                   5      4.4984741210937500      0.9999542236328125      0.0000457763671875      1.0000000000000000         00:00:00.000010         00:00:00.000989
      31                   4      4.4989471435546875      0.9999694824218750      0.0000305175781250      1.0000000000000000         00:00:00.000012         00:00:00.001012
      32                   5      4.4991912841796875      0.9999771118164062      0.0000228881835938      1.0000000000000000         00:00:00.000011         00:00:00.001034
      33                   4      4.4994430541992188      0.9999847412109375      0.0000152587890625      1.0000000000000000         00:00:00.000011         00:00:00.001056
      34                   5      4.4995727539062500      0.9999885559082031      0.0000114440917969      1.0000000000000000         00:00:00.000010         00:00:00.001077
      35                   4      4.4997062683105469      0.9999923706054688      0.0000076293945312      1.0000000000000000         00:00:00.000012         00:00:00.001100
      36                   5      4.4997749328613281      0.9999942779541016      0.0000057220458984      1.0000000000000000         00:00:00.000010         00:00:00.001121
      37                   4      4.4998455047607422      0.9999961853027344      0.0000038146972656      1.0000000000000000         00:00:00.000011         00:00:00.001144
      38                   5      4.4998817443847656      0.9999971389770508      0.0000028610229492      1.0000000000000000         00:00:00.000009         00:00:00.001171
      39                   4      4.4999189376831055      0.9999980926513672      0.0000019073486328      1.0000000000000000         00:00:00.000010         00:00:00.001194
      40                   5      4.4999380111694336      0.9999985694885254      0.0000014305114746      1.0000000000000000         00:00:00.000009         00:00:00.001214
      41                   4      4.4999575614929199      0.9999990463256836      0.0000009536743164      1.0000000000000000         00:00:00.000012         00:00:00.001235

Solution converged

****************************************************************

