
****************************************************************

Beginning calculation

Speed       = 10
Timesteps   = 1000
Iterations  = 1000000
Tolerance   = 1e-06
Convergence = 1e-06

Boundary polynomial (normalised): x + y - 1 = 0

Timestep     Number of nodes      Mean crossing time     Crossed probability    Internal probability       Total probability     Clock time per step      Elapsed clock time
       1                   2      0.5000000000000000      0.5000000000000000      0.5000000000000000      1.0000000000000000         00:00:00.000012         00:00:00.000588
       2                   6      0.5000000000000000      0.5000000000000000      0.5000000000000000      1.0000000000000000         00:00:00.000009         00:00:00.000612
       3                   8      0.8750000000000000      0.6250000000000000      0.3750000000000000      1.0000000000000000         00:00:00.000016         00:00:00.000639
       4                  15      0.8750000000000000      0.6250000000000000      0.3750000000000000      1.0000000000000000         00:00:00.000015         00:00:00.000668
       5                  18      1.1875000000000000      0.6875000000000000      0.3125000000000000      1.0000000000000000         00:00:00.000031         00:00:00.000714
       6                  28      1.1875000000000000      0.6875000000000000      0.3125000000000000      1.0000000000000000         00:00:00.000026         00:00:00.000756
       7                  32      1.4609375000000000      0.7265625000000000      0.2734375000000000      1.0000000000000000         00:00:00.000043         00:00:00.000814
       8                  45      1.4609375000000000      0.7265625000000000      0.2734375000000000      1.0000000000000000         00:00:00.000046         00:00:00.000876
       9                  50      1.7070312500000000      0.7539062500000000      0.2460937500000000      1.0000000000000000         00:00:00.000071         00:00:00.000959
      10                  66      1.7070312500000000      0.7539062500000000      0.2460937500000000      1.0000000000000000         00:00:00.000068         00:00:00.001044
      11                  72      1.9326171875000000      0.7744140625000000      0.2255859375000000      1.0000000000000000         00:00:00.000091         00:00:00.001150
      12                  91      1.9326171875000000      0.7744140625000000      0.2255859375000000      1.0000000000000000         00:00:00.000092         00:00:00.001257
      13                  98      2.1420898437500000      0.7905273437500000      0.2094726562500000      1.0000000000000000         00:00:00.000126         00:00:00.001396
      14                 120      2.1420898437500000      0.7905273437500000      0.2094726562500000      1.0000000000000000         00:00:00.000129         00:00:00.001542
      15                 128      2.3384704589843750      0.8036193847656250      0.1963806152343750      1.0000000000000000         00:00:00.000158         00:00:00.001716
      16                 153      2.3384704589843750      0.8036193847656250      0.1963806152343750      1.0000000000000000         00:00:00.000167         00:00:00.001900
      17                 162      2.5239410400390625      0.8145294189453125      0.1854705810546875      1.0000000000000000         00:00:00.000210         00:00:00.002126
      18                 190      2.5239410400390625      0.8145294189453125      0.1854705810546875      1.0000000000000000         00:00:00.000205         00:00:00.002349
      19                 200      2.7001380920410156      0.8238029479980469      0.1761970520019531      1.0000000000000000         00:00:00.000261         00:00:00.002626
      20                 231      2.7001380920410156      0.8238029479980469      0.1761970520019531      1.0000000000000000         00:00:00.000262         00:00:00.002904
      21                 242      2.8683261871337891      0.8318119049072266      0.1681880950927734      1.0000000000000000         00:00:00.000304         00:00:00.003225
      22                 276      2.8683261871337891      0.8318119049072266      0.1681880950927734      1.0000000000000000         00:00:00.000318         00:00:00.003560
      23                 288      3.0295064449310303      0.8388197422027588      0.1611802577972412      1.0000000000000000         00:00:00.000376         00:00:00.003952
      24                 325      3.0295064449310303      0.8388197422027588      0.1611802577972412      1.0000000000000000         00:00:00.000356         00:00:00.004326
      25                 338      3.1844874620437622      0.8450189828872681      0.1549810171127319      1.0000000000000000         00:00:00.000426         00:00:00.004769
      26                 378      3.1844874620437622      0.8450189828872681      0.1549810171127319      1.0000000000000000         00:00:00.000416         00:00:00.005203
      27                 392      3.3339334428310394      0.8505540192127228      0.1494459807872772      1.0000000000000000         00:00:00.000522         00:00:00.005745
      28                 435      3.3339334428310394      0.8505540192127228      0.1494459807872773      1.0000000000000000         00:00:00.000524         00:00:00.006299
      29                 450      3.4783978909254056      0.8555355519056320      0.1444644480943681      1.0000000000000002         00:00:00.000592         00:00:00.006911
      30                 496      3.4783978909254056      0.8555355519056320      0.1444644480943674      0.9999999999999994         00:00:00.000583         00:00:00.007513
      31                 512      3.6183478250168246      0.8600500659085815      0.1399499340914197      1.0000000000000011         00:00:00.000673         00:00:00.008210
      32                 561      3.6183478250168246      0.8600500659085815      0.1399499340914192      1.0000000000000007         00:00:00.000633         00:00:00.008867
      33                 578      3.7541815845761430      0.8641662404406809      0.1358337595593184      0.9999999999999993         00:00:00.000814         00:00:00.009700
      34                 630      3.7541815845761430      0.8641662404406809      0.1358337595593193      1.0000000000000002         00:00:00.000727         00:00:00.010450
      35                 648      3.8862421841477044      0.8679394004284395      0.1320605995715598      0.9999999999999993         00:00:00.000804         00:00:00.011273
      36                 703      3.8862421841477044      0.8679394004284395      0.1320605995715601      0.9999999999999996         00:00:00.000820         00:00:00.012109
      37                 722      4.0148275047831721      0.8714146793645328      0.1285853206354655      0.9999999999999983         00:00:00.000891         00:00:00.013018
