
****************************************************************

Beginning calculation

Speed       = 1
Timesteps   = 200
Iterations  = 1000000
Tolerance   = 1e-06
Convergence = 1e-06

Boundary polynomial (normalised): x^2 + y^2 - 9 = 0

Timestep     Number of nodes      Mean crossing time     Crossed probability    Internal probability       Total probability     Clock time per step      Elapsed clock time
       1                   4      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000014         00:00:00.000447
       2                   9      0.0000000000000000      0.0000000000000000      1.0000000000000000      1.0000000000000000         00:00:00.000011         00:00:00.000473
       3                  12      0.1875000000000000      0.0625000000000000      0.9375000000000000      1.0000000000000000         00:00:00.000024         00:00:00.000511
       4                  13      0.5464150409336352      0.1562500000000000      0.8437500000000000      1.0000000000000000         00:00:00.000040         00:00:00.000564
       5                  12      1.0379494749805140      0.2617187500000000      0.7382812500000000      1.0000000000000000         00:00:00.000046         00:00:00.000625
       6                  13      1.5502135758557973      0.3496093750000000      0.6503906250000000      1.0000000000000000         00:00:00.000035         00:00:00.000675
       7                  12      2.1472575765247455      0.4396972656250000      0.5603027343750000      1.0000000000000000         00:00:00.000044         00:00:00.000734
       8                  13      2.6890932903390321      0.5089111328125000      0.4910888671875000      1.0000000000000000         00:00:00.000035         00:00:00.000781
       9                  12      3.2892886342252026      0.5785369873046875      0.4214630126953125      1.0000000000000000         00:00:00.000045         00:00:00.000840
      10                  13      3.8055600011545696      0.6310653686523438      0.3689346313476562      1.0000000000000000         00:00:00.000034         00:00:00.000888
      11                  12      4.3641578621500745      0.6836709976196289      0.3163290023803711      1.0000000000000000         00:00:00.000044         00:00:00.000947
      12                  13      4.8315245361251105      0.7231831550598145      0.2768168449401855      1.0000000000000000         00:00:00.000034         00:00:00.000994
      13                  12      5.3302785717362102      0.7627097964286804      0.2372902035713196      1.0000000000000000         00:00:00.000044         00:00:00.001053
      14                  13      5.7403722483056558      0.7923656404018402      0.2076343595981598      1.0000000000000000         00:00:00.000033         00:00:00.001101
      15                  12      6.1739231187610901      0.8220242001116276      0.1779757998883724      1.0000000000000000         00:00:00.000044         00:00:00.001160
      16                  13      6.5260416209067760      0.8442701566964388      0.1557298433035612      1.0000000000000000         00:00:00.000034         00:00:00.001207
      17                  12      6.8957343393868005      0.8665166224818677      0.1334833775181323      1.0000000000000000         00:00:00.000043         00:00:00.001266
      18                  13      7.1932057682424233      0.8832018537214026      0.1167981462785974      1.0000000000000000         00:00:00.000034         00:00:00.001314
      19                  12      7.5038537841705750      0.8998871804360533      0.1001128195639467      1.0000000000000000         00:00:00.000043         00:00:00.001374
      20                  13      7.7519880423536538      0.9124012470783782      0.0875987529216218      1.0000000000000000         00:00:00.000032         00:00:00.001423
      21                  12      8.0100038693357067      0.9249153316222873      0.0750846683777127      1.0000000000000000         00:00:00.000042         00:00:00.001481
      22                  13      8.2148762490816427      0.9343009084564073      0.0656990915435927      1.0000000000000000         00:00:00.000032         00:00:00.001530
      23                  12      8.4271596218802660      0.9436864886470744      0.0563135113529256      1.0000000000000000         00:00:00.000043         00:00:00.001588
      24                  13      8.5948923919127527      0.9507256763074849      0.0492743236925151      1.0000000000000000         00:00:00.000032         00:00:00.001637
      25                  12      8.7681833685436601      0.9577648645972481      0.0422351354027519      1.0000000000000000         00:00:00.000042         00:00:00.001697
      26                  13      8.9045417519414229      0.9630442562865849      0.0369557437134151      1.0000000000000000         00:00:00.000047         00:00:00.001761
      27                  12      9.0450687824191505      0.9683236480939250      0.0316763519060748      0.9999999999999998         00:00:00.000074         00:00:00.001865
      28                  13      9.1552566624272629      0.9722831920379331      0.0277168079620668      0.9999999999999999         00:00:00.000039         00:00:00.001925
      29                  12      9.2685710261371739      0.9762427360040666      0.0237572639959331      0.9999999999999998         00:00:00.000045         00:00:00.001986
      30                  13      9.3571512530492313      0.9792123939952608      0.0207876060047386      0.9999999999999994         00:00:00.000037         00:00:00.002040
      31                  12      9.4480763424112268      0.9821820519906037      0.0178179480093955      0.9999999999999992         00:00:00.000045         00:00:00.002101
      32                  13      9.5189659997801215      0.9844092954902228      0.0155907045097768      0.9999999999999997         00:00:00.000086         00:00:00.002208
      33                  12      9.5916143039205934      0.9866365389906191      0.0133634610093802      0.9999999999999993         00:00:00.000050         00:00:00.002291
      34                  13      9.6481224122361624      0.9883069716164998      0.0116930283834994      0.9999999999999992         00:00:00.000042         00:00:00.002349
      35                  12      9.7059495056171912      0.9899774042425267      0.0100225957574727      0.9999999999999993         00:00:00.000046         00:00:00.002412
      36                  13      9.7508362358005272      0.9912302287121562      0.0087697712878433      0.9999999999999994         00:00:00.000035         00:00:00.002465
      37                  12      9.7967122047803201      0.9924830531818127      0.0075169468181866      0.9999999999999993         00:00:00.000048         00:00:00.002531
      38                  13      9.8322564891238216      0.9934226715340762      0.0065773284659235      0.9999999999999997         00:00:00.000035         00:00:00.002584
      39                  12      9.8685427025641346      0.9943622898863440      0.0056377101136553      0.9999999999999993         00:00:00.000044         00:00:00.002644
      40                  13      9.8966103433504529      0.9950670036505489      0.0049329963494503      0.9999999999999992         00:00:00.000033         00:00:00.002694
      41                  12      9.9252344309592857      0.9957717174147551      0.0042282825852444      0.9999999999999994         00:00:00.000044         00:00:00.002753
      42                  13      9.9473422321954033      0.9963002527379099      0.0036997472620892      0.9999999999999991         00:00:00.000034         00:00:00.002802
      43                  12      9.9698673685483712      0.9968287880610656      0.0031712119389338      0.9999999999999993         00:00:00.000044         00:00:00.002862
      44                  13      9.9872410224602035      0.9972251895534323      0.0027748104465672      0.9999999999999994         00:00:00.000034         00:00:00.002912
