   x   y                   value
   2   2  3.1462314245940968e-08
   0   2  6.2924628491881922e-08
  -2   2  3.1462314245940968e-08
   1   1  9.4386942737822883e-08
  -1   1  9.4386942737822883e-08
   2   0  6.2924628491881922e-08
   0   0  1.2584925698376384e-07
  -2   0  6.2924628491881922e-08
   1  -1  9.4386942737822883e-08
  -1  -1  9.4386942737822883e-08
   2  -2  3.1462314245940968e-08
   0  -2  6.2924628491881922e-08
  -2  -2  3.1462314245940968e-08
