
****************************************************************

Beginning calculation

Speed       = 1
Timesteps   = 1000
Iterations  = 1000000
Tolerance   = 1e-06
Convergence = 1e-06

Boundary polynomial (normalised): x^2 - 1y - 1 = 0

Timestep     Number of nodes      Mean crossing time     Crossed probability    Internal probability       Total probability     Clock time per step      Elapsed clock time
      29                  95      2.1568657147972137      0.9964732840585325      0.0035267159414672      0.9999999999999998         00:00:00.000139         00:00:00.002830
      30                 106      2.1626825866109924      0.9966695677721308      0.0033304322278689      0.9999999999999997         00:00:00.000134         00:00:00.002981
      31                 106      2.1736146506440659      0.9970249455264604      0.0029750544735393      0.9999999999999997         00:00:00.000169         00:00:00.003165
      32                 117      2.1787067963793176      0.9971859222380506      0.0028140777619494      1.0000000000000000         00:00:00.000155         00:00:00.003336
      33                 117      2.1881459812500346      0.9974740653679869      0.0025259346320134      1.0000000000000002         00:00:00.000177         00:00:00.003529
      34                 128      2.1926212976891923      0.9976071379277146      0.0023928620722851      0.9999999999999997         00:00:00.000175         00:00:00.003722
      35                 128      2.2008137579080675      0.9978428538087013      0.0021571461912984      0.9999999999999997         00:00:00.000193         00:00:00.003933
      36                 139      2.2047612682719611      0.9979536500202312      0.0020463499797684      0.9999999999999996         00:00:00.000186         00:00:00.004137
      37                 139      2.2119043040952651      0.9981480036696293      0.0018519963303705      0.9999999999999998         00:00:00.000207         00:00:00.004361
      38                 150      2.2153979508950172      0.9982408541293526      0.0017591458706471      0.9999999999999998         00:00:00.000202         00:00:00.004580
      39                 150      2.2216515972966464      0.9984022384827447      0.0015977615172544      0.9999999999999991         00:00:00.000224         00:00:00.004820
      40                 161      2.2247531881142342      0.9984805125585630      0.0015194874414357      0.9999999999999987         00:00:00.000218         00:00:00.005056
      41                 161      2.2302486090285787      0.9986153781805888      0.0013846218194096      0.9999999999999983         00:00:00.000238         00:00:00.005310
      42                 174      2.2330101177834520      0.9986817238551903      0.0013182761448080      0.9999999999999983         00:00:00.000230         00:00:00.005556
      43                 174      2.2378557838193922      0.9987950863861400      0.0012049136138578      0.9999999999999978         00:00:00.000258         00:00:00.005830
      44                 187      2.2403211594890333      0.9988516038741025      0.0011483961258949      0.9999999999999974         00:00:00.000254         00:00:00.006101
      45                 187      2.2446074691056306      0.9989474034646550      0.0010525965353421      0.9999999999999971         00:00:00.000279         00:00:00.006398
      46                 200      2.2468140666195526      0.9989957725258907      0.0010042274741068      0.9999999999999974         00:00:00.000276         00:00:00.006692
      47                 200      2.2506168588851998      0.9990771327822204      0.0009228672177767      0.9999999999999972         00:00:00.000303         00:00:00.007012
      48                 213      2.2525965789949010      0.9991187072147102      0.0008812927852870      0.9999999999999971         00:00:00.000296         00:00:00.007326
      49                 213      2.2559798448794584      0.9991881246533559      0.0008118753466410      0.9999999999999970         00:00:00.000311         00:00:00.007654
      50                 226      2.2577600487606966      0.9992240032218719      0.0007759967781251      0.9999999999999970         00:00:00.000309         00:00:00.007983
      51                 226      2.2607780535322521      0.9992834878339329      0.0007165121660648      0.9999999999999978         00:00:00.000339         00:00:00.008361
      52                 239      2.2623823020054963      0.9993145680746967      0.0006854319253008      0.9999999999999974         00:00:00.000330         00:00:00.008711
      53                 239      2.2650812678521079      0.9993657489354909      0.0006342510645061      0.9999999999999970         00:00:00.000350         00:00:00.009080
      54                 252      2.2665299231583624      0.9993927683733509      0.0006072316266462      0.9999999999999971         00:00:00.000344         00:00:00.009441
      55                 252      2.2689493781618513      0.9994369738888337      0.0005630261111635      0.9999999999999972         00:00:00.000367         00:00:00.009824
      56                 267      2.2702600972494471      0.9994605419008390      0.0005394580991582      0.9999999999999972         00:00:00.000368         00:00:00.010208
      57                 267      2.2724339674190395      0.9994988614000054      0.0005011385999920      0.9999999999999974         00:00:00.000395         00:00:00.010619
      58                 282      2.2736221089493958      0.9995194840569644      0.0004805159430327      0.9999999999999971         00:00:00.000386         00:00:00.011021
      59                 282      2.2755796096550056      0.9995528154956153      0.0004471845043820      0.9999999999999972         00:00:00.000414         00:00:00.011451
      60                 297      2.2766585718623413      0.9995709150810383      0.0004290849189589      0.9999999999999972         00:00:00.000412         00:00:00.011878
      61                 297      2.2784249407163575      0.9996000022898920      0.0003999977101051      0.9999999999999971         00:00:00.000453         00:00:00.012347
      62                 312      2.2794064434333192      0.9996159327478985      0.0003840672520987      0.9999999999999972         00:00:00.000434         00:00:00.012799
      63                 312      2.2810035464948921      0.9996413947306836      0.0003586052693141      0.9999999999999977         00:00:00.000471         00:00:00.013288
